year,make,model,size,widthmm,aspectratiopercentage,profilemm
2013,aston-martin,db9,255/30ZR20,255,30,76.5
2013,aston-martin,db9,235/35ZR20,235,35,82.25
2013,aston-martin,db9,275/30ZR20,275,30,82.5
2013,aston-martin,db9,275/30YR20,275,30,82.5
2013,aston-martin,db9,285/30ZR20,285,30,85.5
2013,aston-martin,db9,245/35ZR20,245,35,85.75
2013,aston-martin,db9,295/30ZR19,295,30,88.5
2013,aston-martin,db9,255/35ZR19,255,35,89.25
2013,aston-martin,db9,265/35YR19,265,35,92.75
2013,aston-martin,db9,235/40YR19,235,40,94
2013,aston-martin,db9,275/35ZR19,275,35,96.25
2013,aston-martin,db9,245/40ZR19,245,40,98
2013,aston-martin,db9,285/35ZR19,285,35,99.75
2013,aston-martin,ripide,245/30WR22,245,30,73.5
2013,aston-martin,ripide,295/25ZR22,295,25,73.75
2013,aston-martin,ripide,255/30ZR22,255,30,76.5
2013,aston-martin,ripide,265/30WR22,265,30,79.5
2013,aston-martin,ripide,265/30ZR22,265,30,79.5
2013,aston-martin,ripide,275/30ZR21,275,30,82.5
2013,aston-martin,ripide,285/30ZR22,285,30,85.5
2013,aston-martin,ripide,245/35ZR21,245,35,85.75
2013,aston-martin,ripide,305/30ZR20,305,30,91.5
2013,aston-martin,ripide,265/35ZR20,265,35,92.75
2013,aston-martin,ripide,265/35ZR21,265,35,92.75
2013,aston-martin,ripide,265/35ZR20,265,35,92.75
2013,aston-martin,ripide,275/35ZR20,275,35,96.25
2013,aston-martin,ripide,245/40ZR20,245,40,98
2013,aston-martin,ripide,285/35ZR20,285,35,99.75
2013,aston-martin,ripide,285/35ZR21,285,35,99.75
2013,aston-martin,ripide,275/40ZR20,275,40,110
2013,aston-martin,ripide,245/45ZR20,245,45,110.25
2013,aston-martin,v12-vantage,285/25ZR20,285,25,71.25
2013,aston-martin,v12-vantage,245/30ZR20,245,30,73.5
2013,aston-martin,v12-vantage,245/30ZR20,245,30,73.5
2013,aston-martin,v12-vantage,245/30ZR21,245,30,73.5
2013,aston-martin,v12-vantage,255/30ZR20,255,30,76.5
2013,aston-martin,v12-vantage,255/30ZR21,255,30,76.5
2013,aston-martin,v12-vantage,265/30ZR20,265,30,79.5
2013,aston-martin,v12-vantage,265/30ZR21,265,30,79.5
2013,aston-martin,v12-vantage,275/30YR21,275,30,82.5
2013,aston-martin,v12-vantage,275/30ZR20,275,30,82.5
2013,aston-martin,v12-vantage,285/30ZR20,285,30,85.5
2013,aston-martin,v12-vantage,285/30ZR20,285,30,85.5
2013,aston-martin,v12-vantage,245/35ZR20,245,35,85.75
2013,aston-martin,vantage-v8,235/35ZR20,235,35,82.25
2013,aston-martin,vantage-v8,275/30YR20,275,30,82.5
2013,aston-martin,vantage-v8,285/30ZR20,285,30,85.5
2013,aston-martin,vantage-v8,245/35ZR20,245,35,85.75
2013,aston-martin,vantage-v8,295/30ZR20,295,30,88.5
2013,aston-martin,vantage-v8,255/35ZR20,255,35,89.25
2013,aston-martin,vantage-v8,265/35YR19,265,35,92.75
2013,aston-martin,vantage-v8,235/40YR19,235,40,94
2013,aston-martin,vantage-v8,275/35ZR20,275,35,96.25
2013,aston-martin,vantage-v8,275/35ZR19,275,35,96.25
2013,aston-martin,vantage-v8,245/40ZR19,245,40,98
2013,aston-martin,vantage-v8,285/35ZR19,285,35,99.75
2013,aston-martin,vantage-v8,255/40ZR19,255,40,102
2013,aston-martin,vantage-v8,235/45VR19,235,45,105.75
2013,aston-martin,vantage-v8,235/45HR19,235,45,105.75
2013,aston-martin,vantage-v8,275/40VR19,275,40,110
2013,acura,ilx,215/30ZR20,215,30,64.5
2013,acura,ilx,245/30ZR20,245,30,73.5
2013,acura,ilx,245/30ZR19,245,30,73.5
2013,acura,ilx,215/35ZR19,215,35,75.25
2013,acura,ilx,255/30ZR19,255,30,76.5
2013,acura,ilx,235/35HR18,235,35,82.25
2013,acura,ilx,245/35ZR19,245,35,85.75
2013,acura,ilx,245/35ZR18,245,35,85.75
2013,acura,ilx,215/40ZR18,215,40,86
2013,acura,ilx,255/35ZR18,255,35,89.25
2013,acura,ilx,225/40ZR18,225,40,90
2013,acura,ilx,215/45ZR18,215,45,96.75
2013,acura,ilx,215/45ZR17,215,45,96.75
2013,acura,ilx,245/40ZR18,245,40,98
2013,acura,ilx,245/40ZR17,245,40,98
2013,acura,ilx,225/45ZR17,225,45,101.25
2013,acura,ilx,255/40WR17,255,40,102
2013,acura,ilx,235/45ZR17,235,45,105.75
2013,acura,ilx,245/45ZR17,245,45,110.25
2013,acura,ilx,245/45ZR16,245,45,110.25
2013,acura,ilx,225/50WR17,225,50,112.5
2013,acura,ilx,225/50ZR17,225,50,112.5
2013,acura,ilx,225/50WR16,225,50,112.5
2013,acura,ilx,205/55VR16,205,55,112.75
2013,acura,ilx,225/55VR16,225,55,123.75
2013,acura,mdx,255/35WR22,255,35,89.25
2013,acura,mdx,265/35HR22,265,35,92.75
2013,acura,mdx,275/35ZR22,275,35,96.25
2013,acura,mdx,255/40ZR21,255,40,102
2013,acura,mdx,275/40VR21,275,40,110
2013,acura,mdx,275/40VR21,275,40,110
2013,acura,mdx,255/45ZR20,255,45,114.75
2013,acura,mdx,275/45VR20,275,45,123.75
2013,acura,mdx,275/45HR20,275,45,123.75
2013,acura,mdx,275/45YR19,275,45,123.75
2013,acura,mdx,255/50VR19,255,50,127.5
2013,acura,mdx,255/50HR20,255,50,127.5
2013,acura,mdx,265/50VR19,265,50,132.5
2013,acura,mdx,255/55VR19,255,55,140.25
2013,acura,mdx,255/55VR18,255,55,140.25
